configuration,label,mAP,Rank-1,Rank-5,Rank-10,mAP_change,Rank-1_change,wrong_to_correct,correct_to_wrong,net_rank1_correction,semantically_modified_queries,ranking_changed_queries,average_accepted_attributes_per_pair,semantic_abstention_rate,harmful_case_count,true_match_semantic_agreement,false_match_semantic_agreement,successful_case_mean_reliability,harmful_case_mean_reliability
B,existing single-view SigLIP2 colour-only,0.18948121328153097,0.3402154398563734,0.4793536804308797,0.5471274685816876,0.0008393814394008492,0.009425493716337496,57,36,21,1582,756,1.7009655172413793,0.14951724137931033,36,0.7220376522702104,0.4967265925387093,0.4693837714822669,0.4500749529235893
C,proper attributes only,0.1899748761073588,0.3469479353680431,0.48070017953321365,0.5480251346499102,0.0013330442652286778,0.016157989228007152,87,51,36,1644,1113,10.0,0.0,51,0.6732710280373831,0.553392382639504,0.535384835439852,0.5204996636977384
D,proper attributes + SymbolRegistry + multi-view voting,0.19026679839573873,0.3500897666068223,0.48249551166965887,0.5480251346499102,0.0016249665536086089,0.019299820466786355,97,54,43,1644,1102,9.228137931034484,0.07718620689655176,54,0.6973323527445343,0.5604943500105877,0.4369372002373332,0.4137263054625773
E,D + uncertainty gating,0.19028300708443388,0.34605026929982047,0.48159784560143626,0.5484739676840216,0.0016411752423037551,0.015260323159784539,87,53,34,1643,1092,6.016413793103449,0.3983586206896552,53,0.8092124524251,0.6701126693036078,0.5603888811238183,0.5415811454656072
F,E + quality masking,0.19027383259358102,0.34560143626570916,0.48159784560143626,0.5484739676840216,0.001632000751450896,0.014811490125673232,83,50,33,1643,1073,6.016413793103449,0.3983586206896552,50,0.8092124524251,0.6701126693036078,0.5660791714843086,0.5453310720293473
